Model Name,USGIN_Keyword,FeatureType or Layer,ExcelDataTab,NamespaceURI,FeatureURI,keywords
Rock Chemistry,usgincm:Rock Chemistry.StableIsotopes,StableIsotopes,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/rockchemistry/0.4,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/rockchemistry/0.4/stableisotopes,analytes|rock|chemistry|chemical|geochemical|whole|major|elements|uranium|potassium|thorium|isotope|sample
Rock Chemistry,usgincm:Rock Chemistry.TraceElements,TraceElements,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/rockchemistry/0.4,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/rockchemistry/0.4/traceelements,analytes|rock|chemistry|chemical|geochemical|whole|major|elements|uranium|potassium|thorium|isotope|sample
Rock Chemistry,usgincm:Rock Chemistry.USeries,USeries,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/rockchemistry/0.4,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/rockchemistry/0.4/useries,analytes|rock|chemistry|chemical|geochemical|uranium|isotope|sample|Protactinium|thorium|Actinium|Radium|Lead
Rock Chemistry,usgincm:Rock Chemistry.Volatiles,Volatiles,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/rockchemistry/0.4,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/rockchemistry/0.4/volatiles,analytes|rock|chemistry|chemical|geochemical|sample
Rock Chemistry,usgincm:Rock Chemistry.WRMajorElements,WRMajorElements,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/rockchemistry/0.4,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/rockchemistry/0.4/wrmajorelements,analytes|rock|chemistry|chemical|geochemical|whole|major|elements|isotope|sample|Silicon|silica|sodium|potassium|iron|magnesium|calcium|aluminum
Seismic Event Hypocenter,usgincm:Seismic Event Hypocenter,EarthquakeHypocenter,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/hypocenter/1.2.2,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/hypocenter/1.2.2,seismic|hypocenter|earthquake|event|fault|zone|fracture|seismicity
Seismic Event Hypocenter,usgincm:Seismic Event Hypocenter1.6,EarthquakeHypocenter,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/hypocenter/1.6,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/hypocenter/1.6,seismic|hypocenter|earthquake|event|fault|zone|fracture|seismicity
Seismic Event Hypocenter,usgincm:Seismic Event Hypocenter1.7,Hypocenter,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/hypocenter/1.7,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/hypocenter/1.7,seismic|hypocenter|earthquake|event|fault|zone|fracture|seismicity
Thermal Conductivity Observation,usgincm:Thermal Conductivity Observation,MDThermalConductivity,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/thermalconductivity/1.5,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/thermalconductivity/1.5,heat flow|thermal diffusivity|temperature log|well
Thermal Conductivity Observation,usgincm:Thermal Conductivity Observation1.6,ThermalConductivity,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/thermalconductivity/1.6,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/thermalconductivity/1.6,heat flow|thermal diffusivity|temperature log|well
Thermal Conductivity Observation,usgincm:Thermal Conductivity Observation2.0,ThermalConductivity,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/thermalconductivity/2.0,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/thermalconductivity/2.0,heat flow|thermal diffusivity|temperature log|well
Thermal Conductivity Observation,usgincm:Thermal Conductivity Observation2.1,ThermalConductivity,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/thermalconductivity/2.1,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/thermalconductivity/2.1,heat flow|thermal diffusivity|temperature log|well
Thermal Conductivity Observation,usgincm:Thermal Conductivity Observation2.2,ThermalConductivity,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/thermalconductivity/2.2,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/thermalconductivity/2.2,heat flow|thermal diffusivity|temperature log|well
Volcanic Vents,usgincm:Volcanic Vents,VolcanicVent,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/volcanicvent/1.0,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/volcanicvent/1.0,lithology|geologic|age|unit|cone|stratovolcano|dome|volcanism|geochronology|material|lava|spatter|pumice
Volcanic Vents,usgincm:Volcanic Vents1.4,VolcanicVent,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/volcanicvent/1.4,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/volcanicvent/1.4,lithology|geologic|age|unit|cone|stratovolcano|dome|volcanism|geochronology|material|lava|spatter|pumice
Well Fluid Production,usgincm:Well Fluid Production,FluidProduction,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/fluidproduction/1.1,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/fluidproduction/1.1,well|fluid|production|operations|geothermal|flow
Well Header Observation,usgincm:Well Header Observation,Wellheader,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/wellheader/1.5,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/wellheader/1.5,well|header|borehole
Well Log Observation,usgincm:Well Log Observation,WellLog,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/welllog/0.8,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/welllog/0.8,well|borehole|log|lithology|stratigraphic|temperature|scanned|file
Well Tests,usgincm:Well Tests,WellTest,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/welltest/1.0,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/welltest/1.0,drill stem test|well discharge|production|fluid|injection|buildup|drawdown|well test|flow test
